State_Origin,State_Destination,City_Origin,City_Destination,Distance,Speed,Sea_Level_Diff,Sea_Level_Diff_Miles,Sea_Level_Gradient
Florida,Florida,Key West,Miami,164,46.86,102,0.019318188,0.000117794
Florida,Florida,Key West,Fort Lauderdale,189,48.46,-20,-0.00378788,-2.00417E-05
Florida,Florida,Key West,Orlando,393,58.66,49,0.009280306,2.3614E-05
Florida,Florida,Key West,Tampa,426,60.71,42,0.007954548,1.86726E-05
Florida,Florida,Key West,Jacksonville,503,60.97,162,0.030681828,6.09977E-05
Florida,Florida,Miami,Key West,160,39.02,-102,-0.019318188,-0.000120739
Florida,Florida,Miami,Fort Lauderdale,28.6,23.51,-122,-0.023106068,-0.000807904
Florida,Florida,Miami,Orlando,236,58.03,-53,-0.010037882,-4.25334E-05
Florida,Florida,Miami,Tampa,282,61.08,-60,-0.01136364,-4.02966E-05
Florida,Florida,Miami,Jacksonville,346,61.6,60,0.01136364,3.28429E-05
Florida,Florida,Fort Lauderdale,Key West,194,47.51,20,0.00378788,1.95252E-05
Florida,Florida,Fort Lauderdale,Miami,28.6,31.78,122,0.023106068,0.000807904
Florida,Florida,Fort Lauderdale,Orlando,213,68.14,69,0.013068186,6.1353E-05
Florida,Florida,Fort Lauderdale,Tampa,264,65.45,62,0.011742428,4.44789E-05
Florida,Florida,Fort Lauderdale,Jacksonville,324,63.12,182,0.034469708,0.000106388
Florida,Florida,Orlando,Key West,392,61.09,-49,-0.009280306,-2.36743E-05
Florida,Florida,Orlando,Miami,235,68.78,53,0.010037882,4.27144E-05
Florida,Florida,Orlando,Fort Lauderdale,212,68.39,-69,-0.013068186,-6.16424E-05
Florida,Florida,Orlando,Tampa,95.7,54.69,-7,-0.001325758,-1.38533E-05
Florida,Florida,Orlando,Jacksonville,141,64.09,113,0.021401522,0.000151784
Florida,Florida,Tampa,Key West,425,62.5,-42,-0.007954548,-1.87166E-05
Florida,Florida,Tampa,Miami,280,69.71,60,0.01136364,4.05844E-05
Florida,Florida,Tampa,Fort Lauderdale,263,70.45,-62,-0.011742428,-4.4648E-05
Florida,Florida,Tampa,Orlando,84.2,50.52,7,0.001325758,1.57453E-05
Florida,Florida,Tampa,Jacksonville,199,62.19,120,0.02272728,0.000114207
Florida,Florida,Jacksonville,Key West,503,63.14,-162,-0.030681828,-6.09977E-05
Florida,Florida,Jacksonville,Miami,346,69.66,-60,-0.01136364,-3.28429E-05
Florida,Florida,Jacksonville,Fort Lauderdale,326,70.61,-182,-0.034469708,-0.000105735
Florida,Florida,Jacksonville,Orlando,141,65.63,-113,-0.021401522,-0.000151784
Florida,Florida,Jacksonville,Tampa,200,62.83,-120,-0.02272728,-0.000113636
Massachusetts,Massachusetts,Pepperell,Fitchburg,15.4,31.86,-104.98,-0.019882582,-0.001291077
Massachusetts,Massachusetts,Pepperell,Leominster,16.8,31.5,-75.46,-0.014291671,-0.000850695
Massachusetts,Massachusetts,Pepperell,Amherst,68.2,47.03,160.77,0.030448873,0.000446464
Massachusetts,Massachusetts,Pepperell,Chicopee,91.8,57.37,196.86,0.037284103,0.000406145
Massachusetts,Massachusetts,Pepperell,West Springfield,94,55.84,157.48,0.029825767,0.000317295
Massachusetts,Massachusetts,Fitchburg,Pepperell,15.4,33,104.98,0.019882582,0.001291077
Massachusetts,Massachusetts,Fitchburg,Leominster,5.2,22.28,29.52,0.005590911,0.001075175
Massachusetts,Massachusetts,Fitchburg,Amherst,50.2,47.06,265.75,0.050331456,0.001002619
Massachusetts,Massachusetts,Fitchburg,Chicopee,78.5,50.1,301.83,0.057164791,0.000728214
Massachusetts,Massachusetts,Fitchburg,West Springfield,80.7,56.96,262.46,0.049708349,0.000615965
Massachusetts,Massachusetts,Leominster,Pepperell,16.3,30.56,75.46,0.014291671,0.00087679
Massachusetts,Massachusetts,Leominster,Fitchburg,5.2,22.28,-29.52,-0.005590911,-0.001075175
Massachusetts,Massachusetts,Leominster,Amherst,51.1,47.16,236.23,0.044740545,0.000875549
Massachusetts,Massachusetts,Leominster,Chicopee,73.7,58.96,272.31,0.05157388,0.000699781
Massachusetts,Massachusetts,Leominster,West Springfield,75.8,58.3,232.94,0.044117438,0.000582024
Massachusetts,Massachusetts,Amherst,Pepperell,69.3,47.79,-160.77,-0.030448873,-0.000439378
Massachusetts,Massachusetts,Amherst,Fitchburg,49.1,46.03,-265.75,-0.050331456,-0.001025081
Massachusetts,Massachusetts,Amherst,Leominster,50.8,46.18,-236.23,-0.044740545,-0.000880719
Massachusetts,Massachusetts,Amherst,Chicopee,17.5,32.81,36.08,0.006833336,0.000390476
Massachusetts,Massachusetts,Amherst,West Springfield,23.91,42.17,-3.29,-0.000623106,-2.60605E-05
Massachusetts,Massachusetts,Chicopee,Pepperell,88.7,56.02,-196.85,-0.037282209,-0.000420318
Massachusetts,Massachusetts,Chicopee,Fitchburg,77.7,58.27,-301.83,-0.057164791,-0.000735712
