Origin City,Destination City,Distance,Avg Speed,Sea Level Difference
detroitmi,annarbormi,43.49,57.37,242
detroitmi,grandrapidsmi,157.81,66.73,56
detroitmi,cadillacmi,207.48,67.59,667
detroitmi,traversecitymi,255.45,65.74,7
detroitmi,owossomi,92.19,62.29,124
detroitmi,burlingtonvt,646.07,64.18,-433
detroitmi,winooskivt,643.15,64.23,-378
detroitmi,stalbanscityvt,617.59,63.94,-227
detroitmi,barrevt,688.11,64.32,220
detroitmi,montpeliervt,682.05,64.47,19
detroitmi,rutlandvt,607.71,62.76,-61
detroitmi,keywestfl,1542.25,67.15,-630
detroitmi,miamifl,1384.69,69.37,-528
detroitmi,fortlauderdalefl,1361.84,69.41,-650
detroitmi,orlandofl,1160.83,69.19,-581
detroitmi,tampafl,1177.95,69.35,-588
detroitmi,jacksonvillefl,1006.81,66.29,-468
detroitmi,pepperellma,705.31,65.02,-328
detroitmi,fitchburgma,694.28,65.57,-44
detroitmi,leominsterma,690.29,65.73,-165
detroitmi,amherstma,636.81,65.19,-466
detroitmi,chicopeema,623.21,65.87,-427
detroitmi,westspringfieldma,620.84,65.49,-462
detroitmi,rochesterny,325.52,63.25,-195
detroitmi,syracuseny,400.95,64.22,-164
detroitmi,cooperstownny,487.95,63.61,649
detroitmi,buffalony,255.28,62.03,47
detroitmi,newyorkcityny,614.3,65.78,-500
detroitmi,troyny,544.52,65.4,-494
detroitmi,portlandme,805.35,66.2,-587
detroitmi,brunswickme,829.95,66.15,-537
detroitmi,lewistonme,835.08,66.12,-281
detroitmi,bangorme,848.97,61.83,-430
detroitmi,augustame,859.53,66.37,-473
detroitmi,watervilleme,808.22,61.92,-372
detroitmi,raleighnc,679.81,63.35,-326
detroitmi,charlottenc,625.23,63.48,-48
detroitmi,ashevillenc,626.41,66.95,1524
detroitmi,wilmingtonnc,808.5,64.72,-518
detroitmi,greensboronc,605.64,63.08,187
detroitmi,durhamnc,656.89,63.49,-329
detroitmi,alexandriava,536.85,65.03,-408
detroitmi,hamptonva,695.01,66.02,-648
detroitmi,fredericksburgva,569.37,64.76,-470
detroitmi,richmondva,624.93,65.53,-388
detroitmi,virginiabeachva,725.02,65.71,-601
detroitmi,williamsburgva,669.38,65.7,-562
detroitmi,frankfortky,341.08,64.33,55
detroitmi,cynthianaky,319.61,63.57,115
detroitmi,lexingtonky,344.61,65.94,443
detroitmi,lawrenceburgky,362.78,66.03,165
detroitmi,louisvilleky,361.73,66.95,-75
detroitmi,lagrangeky,337.44,67.2,151
detroitmi,cincinnatioh,263.17,66.78,-121
detroitmi,columbusoh,202.35,62.21,188
detroitmi,toledooh,58.63,60.14,-18
detroitmi,akronoh,191.2,65.68,353
detroitmi,daytonoh,210.7,66.92,211
detroitmi,clevelandoh,169.67,64.09,0
detroitmi,manchesternh,744.08,66.02,-316
detroitmi,concordnh,683.41,61.11,-268
detroitmi,nashuanh,724.88,65.87,-454
detroitmi,rochesternh,773.42,65.84,-408
detroitmi,portsmouthnh,754.73,65.92,-594
detroitmi,keenenh,632.79,61.53,-116
detroitmi,southbendin,216.96,64.17,111
detroitmi,fortwaynein,162.49,62.61,185
detroitmi,indianapolisin,287.34,65.54,198
detroitmi,lafayettein,276.78,62.24,46
detroitmi,bloomingtonin,337.25,64.56,177
detroitmi,evansvillein,458.47,66.82,-260
detroitmi,pittsburghpa,285.83,67,173
detroitmi,philadelphiapa,583.59,66.63,-601
detroitmi,scrantonpa,527.76,67.44,175
detroitmi,eriepa,271.5,65.4,94
detroitmi,allentownpa,554.94,66.97,-306
detroitmi,statecollegepa,391.78,64.72,461
detroitmi,columbiasc,716.57,63.91,-342
detroitmi,greenvillesc,678.47,65.81,316
detroitmi,sumtersc,734.45,61.63,-388
detroitmi,myrtlebeachsc,789.04,61.78,-535
detroitmi,spartanburgsc,683.19,66.23,112
detroitmi,clemsonsc,704.7,65.19,219
detroitmi,wilmingtonde,576.42,64.65,-602
detroitmi,newarkde,559.39,63.46,-472
detroitmi,middletownde,610.28,66.32,-575
detroitmi,doverde,607.81,64.74,-523
detroitmi,milfordde,610.3,64.48,-604
detroitmi,frankfordde,634.16,63.81,-592
detroitmi,washingtondcwa,520.82,63.12,-523
detroitmi,baltimoremd,527.68,65.9,-517
detroitmi,annapoliswa,2390.22,69.17,-602
detroitmi,oceancitymd,2460.55,68.76,-649
detroitmi,towsonmd,531.25,66.18,-279
detroitmi,rockvillemd,504.94,66.12,-153
detroitmi,silverspringmd,517.13,64.76,-352
detroitmi,oceancitymd,661.19,64,-649
detroitmi,baltimoremd,527.68,65.9,-517
detroitmi,hagerstownmd,455.8,66.12,-83
detroitmi,westerlyri,754.27,66.5,-841
detroitmi,woonsocketri,687.84,65.45,-412
detroitmi,warwickri,711.75,65.2,-602
detroitmi,newportri,732.66,65.18,-631
detroitmi,northkingstownri,722.35,65.44,-602
detroitmi,providenceri,700.39,65.37,-566
detroitmi,anstedwv,408.14,60.21,746
detroitmi,martinsburgswv,468.39,66.16,-97
detroitmi,summersvillewv,450.47,64.2,1242
detroitmi,viennawv,328.32,66.15,130
detroitmi,bluefieldwv,467.27,62.05,2417
detroitmi,charlestonwv,361.28,62.24,284
detroitmi,athensga,745.37,64.46,129
detroitmi,columbusga,825.15,68.42,-103
detroitmi,maconga,805.92,68.17,-216
detroitmi,augustaga,787.28,64.39,-208
detroitmi,savannahga,876.07,64.99,-587
detroitmi,atlantaga,722.4,68.25,458
detroitmi,atlanticcitynj,645.59,66.26,-602
detroitmi,camdennj,587.79,66.43,-602
detroitmi,newbrunswicknj,617.49,66.99,-582
detroitmi,elizabethnj,613.27,67.01,-603
detroitmi,trentonnj,603.87,67.19,-601
detroitmi,newarknj,604.93,67.08,-521
detroitmi,bridgeportct,674.36,66.85,-596
detroitmi,danburyct,664.2,66.27,-91
detroitmi,stamfordct,652.43,67.01,-495
detroitmi,hartfordct,649.73,65.83,-583
detroitmi,newhavenct,692.8,66.42,-567
detroitmi,waterburyct,691.09,66.25,-133
annarbormi,detroitmi,42.99,57.3,-242
annarbormi,grandrapidsmi,132.45,66.91,-186
annarbormi,cadillacmi,191.48,66.83,425
annarbormi,traversecitymi,239.44,65.05,-235
annarbormi,owossomi,68.63,57.5,-118
annarbormi,burlingtonvt,688.79,64.54,-675
annarbormi,winooskivt,685.87,64.59,-620
annarbormi,stalbanscityvt,660.31,64.32,-469
annarbormi,barrevt,730.83,64.64,-22
annarbormi,montpeliervt,724.77,64.79,-223
annarbormi,rutlandvt,650.43,63.21,-303
annarbormi,keywestfl,1528.56,66.89,-872
annarbormi,miamifl,1370.99,69.08,-770
annarbormi,fortlauderdalefl,1348.15,69.12,-892
annarbormi,orlandofl,1147.14,68.85,-823
annarbormi,tampafl,1164.26,69.02,-830
annarbormi,jacksonvillefl,993.11,65.89,-710
annarbormi,pepperellma,748.03,65.31,-570
annarbormi,fitchburgma,737,65.83,-286
annarbormi,leominsterma,733.02,65.99,-407
annarbormi,amherstma,679.53,65.5,-708
annarbormi,chicopeema,665.93,66.15,-669
annarbormi,westspringfieldma,663.56,65.78,-704
annarbormi,rochesterny,368.24,64.01,-437
annarbormi,syracuseny,443.67,64.76,-406
annarbormi,cooperstownny,530.68,64.11,407
annarbormi,buffalony,298,63.11,-195
annarbormi,newyorkcityny,612.89,65.11,-742
annarbormi,troyny,587.25,65.74,-736
annarbormi,portlandme,848.07,66.4,-829
annarbormi,brunswickme,872.67,66.35,-779
annarbormi,lewistonme,877.8,66.31,-523
annarbormi,bangorme,891.69,62.2,-672
annarbormi,augustame,902.25,66.55,-715
annarbormi,watervilleme,850.94,62.31,-614
annarbormi,raleighnc,666.11,62.75,-568
annarbormi,charlottenc,611.54,62.83,-290
annarbormi,ashevillenc,612.71,66.31,1282
annarbormi,wilmingtonnc,794.8,64.22,-760
annarbormi,greensboronc,591.94,62.41,-55
annarbormi,durhamnc,643.2,62.87,-571
annarbormi,alexandriava,535.43,64.29,-650
annarbormi,hamptonva,693.59,65.43,-890
annarbormi,fredericksburgva,567.96,64.07,-712
annarbormi,richmondva,623.52,64.88,-630
annarbormi,virginiabeachva,723.61,65.15,-843
annarbormi,williamsburgva,667.96,65.09,-804
annarbormi,frankfortky,327.38,63.12,-187
annarbormi,cynthianaky,305.92,62.28,-127
annarbormi,lexingtonky,330.92,64.76,201
annarbormi,lawrenceburgky,349.09,64.91,-77
annarbormi,louisvilleky,348.03,65.83,-317
annarbormi,lagrangeky,323.74,66,-91
annarbormi,cincinnatioh,249.48,65.22,-363
annarbormi,columbusoh,188.65,60.14,-54
annarbormi,toledooh,53.7,55.48,-260
annarbormi,akronoh,189.78,63.58,111
annarbormi,daytonoh,197.01,64.96,-31
annarbormi,clevelandoh,168.25,61.83,-242
annarbormi,manchesternh,786.8,66.25,-558
annarbormi,concordnh,726.13,61.59,-510
annarbormi,nashuanh,767.6,66.11,-696
annarbormi,rochesternh,816.15,66.06,-650
annarbormi,portsmouthnh,797.45,66.15,-836
annarbormi,keenenh,675.51,62.02,-358
annarbormi,southbendin,168.95,60.27,-131
annarbormi,fortwaynein,141.2,59.75,-57
annarbormi,indianapolisin,266.05,64.08,-44
annarbormi,lafayettein,255.49,60.61,-196
annarbormi,bloomingtonin,315.96,63.3,-65
annarbormi,evansvillein,437.18,65.94,-502
annarbormi,pittsburghpa,284.42,65.54,-69
annarbormi,philadelphiapa,582.18,65.91,-843
annarbormi,scrantonpa,526.34,66.63,-67
annarbormi,eriepa,270.08,63.92,-148
annarbormi,allentownpa,553.52,66.21,-548
annarbormi,statecollegepa,390.36,63.71,219
annarbormi,columbiasc,702.87,63.35,-584
annarbormi,greenvillesc,664.78,65.21,74
annarbormi,sumtersc,720.75,61.07,-630
annarbormi,myrtlebeachsc,775.35,61.27,-777
annarbormi,spartanburgsc,669.49,65.64,-130
annarbormi,clemsonsc,691.01,64.62,-23
annarbormi,wilmingtonde,575,63.96,-844
annarbormi,newarkde,557.98,62.78,-714
annarbormi,middletownde,607.87,65.6,-817
annarbormi,doverde,606.4,64.09,-765
annarbormi,milfordde,608.88,63.83,-846
annarbormi,frankfordde,632.75,63.2,-834
annarbormi,washingtondcwa,519.4,62.39,-765
annarbormi,baltimoremd,526.27,65.12,-759
annarbormi,annapoliswa,2348.52,69.08,-844
annarbormi,oceancitymd,2418.85,68.67,-891
annarbormi,towsonmd,529.83,65.4,-521
annarbormi,rockvillemd,503.53,65.3,-395
annarbormi,silverspringmd,515.72,63.99,-594
annarbormi,oceancitymd,659.78,63.41,-891
annarbormi,baltimoremd,526.27,65.12,-759
annarbormi,hagerstownmd,454.39,65.22,-325
annarbormi,westerlyri,752.86,65.94,-1083
annarbormi,woonsocketri,730.56,65.73,-654
annarbormi,warwickri,784.73,65.8,-844
annarbormi,newportri,790.89,65.21,-873
annarbormi,northkingstownri,780.2,65.51,-844
annarbormi,providenceri,743.11,65.64,-808
