	allentownpa	anstedwv	syracuseny	stalbanscityvt	athensga	daytonoh	tampafl	camdennj	summersvillewv	leominsterma	lawrenceburgky	newyorkcityny	virginiabeachva	keenenh	fortlauderdalefl	detroitmi	rutlandvt	milfordde	sumtersc	toledooh	fredericksburgva	charlottenc	stamfordct	danburyct	brunswickme	southbendin	ashevillenc	jacksonvillefl	atlanticcitynj	greensboronc	watervilleme	rochesternh	westerlyri	cincinnatioh	columbiasc	lagrangeky	providenceri	lexingtonky	scrantonpa	owossomi	savannahga	rochesterny	fredericksonwa	woonsocketri	wilmingtonnc	trentonnj	northkingstownri	wilmingtonde	statecollegepa	baltimoremd	raleighnc	atlantaga	clevelandoh	cynthianaky	durhamnc	spartanburgsc	indianapolisin	oceancitymd	williamsburgva	augustame	charlestonwv	fortwaynein	grandrapidsmi	newarkde	lewistonme	pepperellma	louisvilleky	concordnh	frankfordde	buffalony	hagerstownmd	annapoliswa	evansvillein	frankfortky	washingtondcwa	miamifl	hartfordct	middletownde	newhavenct	columbusga	nashuanh	columbusoh	elizabethnj	newportri	fitchburgma	orlandofl	amherstma	augustaga	towsonmd	portsmouthnh	portlandme	hamptonva	viennawv	myrtlebeachsc	montpeliervt	doverde	waterburyct	pittsburghpa	burlingtonvt	cadillacmi	greenvillesc	newarknj	martinsburgswv	philadelphiapa	akronoh	keywestfl	newbrunswicknj	chicopeema	rockvillemd	annarbormi	traversecitymi	westspringfieldma	troyny	barrevt	manchesternh	silverspringmd	cooperstownny	clemsonsc	lafayettein	alexandriava	bridgeportct	winooskivt	eriepa	richmondva	bluefieldwv	warwickri	bangorme	bloomingtonin	maconga	
allentownpa	0.0	434.45	205.02	391.69	742.59	518.77	1091.07	67.18	412.11	297.11	650.09	92.88	325.1	317.05	1221.55	555.49	305.92	147.89	631.76	501.0	241.95	558.24	139.05	158.36	436.77	642.61	604.66	894.62	124.8	472.63	485.21	380.24	239.61	551.92	647.52	627.48	279.32	618.29	77.01	622.58	762.9	291.09	2817.49	293.42	553.01	75.95	267.19	80.39	164.41	153.89	466.61	793.72	402.61	620.15	446.89	623.14	622.49	198.81	341.95	466.35	444.08	586.89	686.39	93.79	441.89	312.13	651.77	363.31	179.05	331.27	154.96	2838.28	772.93	640.57	187.17	1246.45	213.41	106.87	179.94	901.61	331.69	447.98	84.22	278.02	301.1	1036.21	264.83	719.59	149.0	361.55	412.17	367.59	406.35	619.29	372.48	130.77	184.6	284.06	364.23	745.42	651.23	82.04	174.16	63.82	378.96	1398.25	69.72	244.07	185.04	553.77	793.38	241.78	222.91	370.51	350.9	183.13	213.36	682.91	683.07	195.28	160.28	367.26	372.69	297.51	470.46	272.98	539.84	672.26	839.71	
anstedwv	434.45	0.0	570.18	820.79	422.79	239.03	814.47	457.21	23.05	726.21	253.49	521.98	365.64	746.14	944.94	411.54	735.01	414.32	345.66	350.95	256.12	236.44	568.47	587.79	865.86	466.37	265.84	618.01	507.86	216.85	914.3	809.34	671.05	244.65	327.78	285.1	709.98	221.69	469.58	467.58	486.76	494.74	2622.3	724.49	419.7	470.65	698.39	426.38	323.03	355.05	291.02	473.92	297.81	223.55	268.1	302.27	357.09	465.21	309.99	895.44	47.01	365.96	531.39	414.27	870.99	741.22	293.64	792.41	438.19	429.83	283.17	2642.3	415.08	243.98	312.33	969.84	642.83	414.3	609.36	581.81	760.79	208.16	513.64	709.08	730.19	759.6	693.92	399.8	358.61	790.64	841.26	335.63	133.6	400.25	801.57	411.83	614.02	217.65	793.33	590.42	330.11	511.47	270.03	457.61	261.4	1121.64	499.15	673.16	315.93	398.77	638.38	670.87	652.01	799.6	779.99	318.55	580.15	360.78	417.67	315.52	589.7	796.36	338.79	260.65	78.68	702.92	968.93	394.54	519.92	
syracuseny	205.02	570.18	0.0	254.72	911.96	539.84	1268.88	257.71	547.83	295.64	683.05	246.59	517.94	238.27	1399.36	401.05	213.05	338.43	808.02	446.64	417.14	725.96	261.29	247.67	434.88	589.05	772.8	1072.43	315.34	640.63	484.91	378.51	311.17	576.82	816.89	652.41	305.51	659.22	130.46	446.21	939.16	86.35	2764.94	293.05	728.57	266.49	328.52	270.92	239.95	331.91	642.98	963.1	334.17	631.96	622.82	792.52	643.99	389.34	517.97	464.6	569.37	536.77	530.99	284.32	441.87	310.65	675.99	288.2	369.59	151.95	324.34	2785.72	794.52	655.73	370.93	1425.2	253.84	297.4	291.65	1070.98	329.46	470.5	246.05	338.64	299.63	1214.02	242.15	888.97	323.33	359.64	409.99	542.96	493.43	795.55	279.61	321.3	248.21	359.22	227.97	559.84	820.61	236.69	343.54	253.7	356.43	1577.0	247.95	228.55	354.42	443.56	607.8	226.18	149.17	277.64	345.23	366.01	92.94	852.28	650.85	378.93	276.82	231.0	237.3	473.99	639.83	317.05	538.87	693.69	1009.09	
stalbanscityvt	391.69	820.79	254.72	0.0	1128.93	788.23	1442.85	410.2	798.44	220.04	931.44	327.83	678.9	175.43	1571.68	618.73	93.97	499.39	983.25	674.24	592.36	942.93	336.44	317.41	306.95	835.71	989.77	1245.97	438.62	849.56	239.95	214.31	317.61	825.21	1018.55	900.8	290.02	907.61	360.35	663.89	1114.39	334.88	2985.78	276.26	903.8	379.98	312.75	439.52	481.73	505.39	818.21	1180.06	582.56	880.35	798.05	1009.48	892.38	550.3	693.2	219.46	830.42	778.23	748.68	445.28	200.82	218.01	924.38	176.88	530.55	400.34	541.3	3006.56	1042.91	904.13	538.67	1592.44	260.29	458.36	298.09	1287.95	207.78	718.9	331.77	311.26	213.2	1386.01	216.37	1090.34	500.5	231.71	282.07	718.18	741.82	970.78	63.92	482.26	290.22	607.61	28.24	777.52	1037.57	323.85	560.5	407.84	604.82	1748.56	353.58	233.83	540.26	661.24	825.48	233.84	171.03	70.7	191.53	534.62	219.53	1069.25	892.31	546.18	314.18	25.31	485.69	649.21	856.79	301.56	293.91	942.08	1210.46	
athensga	742.59	422.79	911.96	1128.93	0.0	535.87	472.33	731.39	439.14	1009.7	416.32	813.2	530.04	1029.63	656.21	744.37	1043.16	684.57	217.87	683.78	536.91	193.69	856.26	882.19	1149.35	734.26	157.87	342.14	782.04	280.47	1197.79	1092.83	954.42	482.63	163.51	501.79	993.34	404.33	780.72	800.41	222.81	910.51	2714.75	1007.85	368.22	760.1	981.76	696.22	706.24	632.78	354.16	72.07	701.31	434.36	331.25	124.72	592.29	652.57	505.75	1178.93	450.53	660.72	847.55	684.11	1154.48	1024.71	479.36	1075.9	658.09	845.59	591.31	2734.75	457.05	428.99	587.06	679.06	932.89	684.55	897.15	179.95	1044.28	589.52	803.7	992.45	1013.69	455.21	977.41	95.12	643.86	1074.13	1124.75	525.14	531.25	311.37	1125.59	682.08	908.42	633.41	1101.47	923.26	94.26	808.52	571.39	727.45	664.9	836.62	788.0	956.65	598.67	731.6	971.22	954.36	960.15	1123.61	1063.48	601.29	920.3	73.19	655.44	582.49	877.49	1104.5	754.56	479.27	356.93	986.29	1252.42	573.4	91.94	
daytonoh	518.77	239.03	539.84	788.23	535.87	0.0	968.99	543.66	279.22	829.18	153.81	605.94	613.8	772.29	1152.87	209.42	746.59	558.22	565.32	148.83	488.66	456.22	667.6	675.38	968.83	227.74	417.44	837.79	601.28	436.63	1017.27	912.54	768.16	54.2	547.46	128.47	807.87	135.64	542.74	265.46	706.5	464.4	2381.12	827.07	639.48	558.83	795.74	532.24	396.64	474.73	510.8	513.93	211.45	110.64	487.88	475.47	117.22	608.45	558.15	998.41	192.77	126.61	302.13	532.77	973.96	844.19	152.76	822.22	582.11	399.49	403.66	2401.91	271.25	132.11	468.93	1175.72	731.53	546.62	708.49	617.95	863.48	71.17	597.16	806.57	833.17	951.87	775.69	589.85	478.1	893.66	944.23	583.78	183.39	619.61	813.15	555.77	701.61	255.87	761.5	388.3	470.1	594.99	416.33	539.64	194.86	1333.28	583.59	762.09	452.42	196.65	436.27	759.72	683.41	811.18	879.25	463.76	626.84	496.69	178.03	483.32	688.83	764.53	308.25	508.81	298.42	801.53	1071.9	166.92	596.97	
tampafl	1091.07	814.47	1268.88	1442.85	472.33	968.99	0.0	1043.28	830.81	1328.4	849.54	1132.12	826.46	1340.87	263.47	1178.1	1357.08	1000.21	476.48	1117.1	853.43	579.7	1168.16	1194.09	1466.96	1131.0	638.58	199.85	1093.94	644.6	1517.0	1410.6	1268.73	916.14	487.08	898.93	1308.43	837.44	1137.42	1234.14	335.64	1289.3	3110.62	1322.54	633.25	1072.0	1296.3	1011.29	1114.56	947.61	650.94	455.9	1092.27	864.34	675.35	573.41	988.58	949.02	835.88	1496.68	842.13	1093.86	1245.1	999.04	1473.96	1345.57	875.31	1392.51	954.68	1238.17	966.08	3131.41	852.21	862.16	902.23	280.11	1244.79	1000.38	1209.05	401.08	1361.54	1022.72	1115.6	1307.13	1332.27	84.18	1294.85	452.09	961.78	1391.72	1442.08	820.35	928.72	553.99	1441.33	997.75	1220.32	1025.94	1415.39	1339.65	596.4	1120.42	964.4	1042.36	1056.81	424.96	1099.9	1274.65	915.04	1165.33	1387.12	1272.16	1274.49	1439.36	1377.31	916.77	1278.19	575.32	1051.39	897.55	1189.39	1418.42	1146.69	794.88	748.48	1302.09	1570.96	970.28	379.55	
camdennj	67.18	457.21	257.71	410.2	731.39	543.66	1043.28	0.0	435.18	292.79	672.05	96.29	277.31	312.73	1173.75	588.08	324.43	100.62	583.92	533.59	194.16	541.09	135.8	161.72	432.45	675.2	610.99	846.83	57.65	450.42	480.89	375.92	237.51	576.8	619.75	652.36	276.44	640.24	128.58	655.17	716.1	343.78	2845.47	290.95	505.22	35.6	264.86	32.34	195.91	101.51	418.82	780.23	435.21	642.11	399.1	609.72	647.38	152.63	294.16	462.03	466.9	622.98	718.99	45.35	437.58	307.81	676.66	359.0	131.28	378.44	176.69	2865.47	797.81	662.53	140.03	1198.66	212.42	59.27	176.69	887.08	327.37	472.86	83.23	275.55	296.78	988.42	260.51	690.34	101.21	357.23	407.85	319.8	423.68	573.01	408.68	82.75	187.95	308.95	382.74	778.02	637.56	88.06	197.27	5.12	412.15	1350.46	64.23	239.75	141.87	586.36	825.98	237.46	241.42	406.71	346.58	135.97	266.05	668.24	707.95	147.49	157.03	385.77	405.21	249.72	477.6	269.39	535.52	697.15	811.22	
summersvillewv	412.11	23.05	547.83	798.44	439.14	279.22	830.81	435.18	0.0	703.86	293.67	499.64	366.48	723.8	961.29	447.82	712.67	415.32	362.0	387.23	256.96	252.79	546.44	565.76	843.52	506.55	282.18	634.36	485.83	233.19	891.96	786.99	648.71	284.84	344.12	325.28	687.64	261.87	447.24	503.86	503.11	472.4	2662.48	702.14	436.05	448.62	676.05	404.04	300.68	332.71	307.36	490.27	320.81	263.73	284.45	318.61	397.27	466.21	310.83	873.1	64.73	406.14	567.68	391.93	848.65	718.88	333.82	770.07	439.19	407.49	260.82	2682.48	455.26	284.16	313.17	986.19	620.8	415.31	587.33	598.16	738.45	244.45	491.61	686.74	707.85	775.95	671.58	416.14	336.27	768.3	818.92	336.47	169.6	416.6	779.23	412.83	591.99	195.3	770.99	626.71	346.46	489.43	273.42	435.27	297.69	1137.99	477.11	650.82	309.97	435.05	674.67	648.53	629.67	777.26	757.65	322.16	557.81	377.13	457.85	316.36	567.67	774.02	316.45	261.49	95.03	680.58	946.59	434.72	536.26	
leominsterma	297.11	726.21	295.64	220.04	1009.7	829.18	1328.4	292.79	703.86	0.0	940.79	198.82	561.5	45.17	1457.93	690.78	116.19	381.98	865.85	735.98	474.96	821.49	159.5	142.3	148.78	878.39	895.19	1131.95	322.3	732.15	198.81	92.41	93.18	866.16	901.14	941.75	61.83	909.82	280.46	735.94	996.98	375.83	3054.28	49.36	786.4	262.57	84.83	322.12	426.8	387.98	700.8	1060.83	623.51	921.3	680.64	890.25	933.33	432.89	575.8	178.5	735.84	826.11	820.73	327.87	155.77	16.27	965.33	74.32	413.14	441.29	446.72	3075.06	1083.86	945.07	421.26	1482.83	84.9	340.95	121.16	1168.72	43.35	759.85	213.13	94.96	5.23	1272.59	50.79	972.93	383.09	73.54	123.89	600.78	698.11	853.38	159.0	364.86	115.12	559.96	195.02	849.57	918.34	208.14	465.92	290.43	645.77	1634.63	232.86	73.66	422.85	733.29	897.53	75.76	157.41	157.02	59.13	417.22	223.97	950.02	940.19	428.77	137.25	195.62	526.64	531.81	762.21	73.36	252.77	983.03	1093.05	
